SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,HeapSortNComp,HeapSortTns,
seq_10_0,45,440400,32,38800,34,40200,31,21800,35,1067700,40,45700,
seq_10_1,45,9500,23,7800,34,23400,27,8400,23,40000,39,17900,
seq_10_2,45,9400,30,5800,34,19700,24,8000,24,40100,38,17400,
seq_10_3,45,9600,30,5800,34,16400,20,7000,23,40000,38,34800,
seq_10_4,45,9500,29,5700,34,16400,22,8000,22,37000,39,17500,
seq_10_5,45,11300,40,8700,34,17000,23,7700,31,41200,38,25400,
seq_10_6,45,14600,31,7100,34,18100,23,29900,19,52000,42,18600,
seq_10_7,45,10200,33,6600,34,18000,23,24700,29,39400,40,26200,
seq_10_8,45,10600,37,6900,34,16800,28,11100,25,96200,36,44500,
seq_10_9,45,10700,31,6000,34,17200,24,7300,31,56500,38,5700,
seq_10_10,45,9100,26,5300,34,19100,23,6700,23,46600,40,5600,
seq_10_11,45,9100,26,5300,34,16500,25,8000,29,36200,40,5600,
seq_10_12,45,10300,34,6300,34,18100,20,7200,25,38700,41,6400,
seq_10_13,45,9300,29,5600,34,23500,20,7700,21,38400,42,6800,
seq_10_14,45,9700,31,5800,34,26600,20,12500,21,31800,40,5400,
seq_10_15,45,10700,34,6300,34,16400,28,21600,23,41100,39,5700,
seq_10_16,45,9700,30,7900,34,22400,31,6100,23,25400,39,5500,
seq_10_17,45,10000,33,6100,34,15400,25,5800,21,47100,40,7400,
seq_10_18,45,10200,24,4800,34,14600,31,19200,25,39600,39,5700,
seq_10_19,45,10100,35,6300,34,413200,31,29400,20,56600,38,5600,
seq_10_20,45,8300,23,4700,34,15100,23,4900,21,35400,42,5700,
seq_10_21,45,8500,24,5100,34,16700,20,5100,23,29500,39,5400,
seq_10_22,45,22000,45,7700,34,31800,23,5600,23,29800,42,5500,
seq_10_23,45,10800,42,7100,34,14600,21,4800,27,30200,38,5300,
seq_10_24,45,12200,38,6800,34,14400,21,4400,19,26200,39,23700,
seq_10_25,45,9400,29,5500,34,14900,19,4300,25,34100,41,5400,
seq_10_26,45,10200,35,6100,34,19600,23,5200,19,26500,38,5200,
seq_10_27,45,9600,33,7800,34,21900,19,20000,22,45400,39,18400,
seq_10_28,45,10700,42,6900,34,35400,24,5200,19,25900,38,6400,
seq_10_29,45,8500,25,4800,34,17200,27,4400,24,49700,40,4900,
seq_10_30,45,8700,27,5000,34,12300,21,4200,29,49600,37,4900,
seq_10_31,45,10900,33,7100,34,15400,22,5600,25,40500,36,5100,
seq_10_32,45,8700,28,6800,34,15100,21,4500,23,30200,39,4800,
seq_10_33,45,9600,32,5800,34,40500,20,4300,25,29900,43,5100,
seq_10_34,45,8700,26,5000,34,3500,23,4200,32,22900,39,4800,
seq_10_35,45,10500,39,6500,34,5300,27,4900,23,18900,38,4700,
seq_10_36,45,10200,37,6300,34,3100,22,4500,24,21200,42,4700,
seq_10_37,45,9400,24,4500,34,3200,24,4200,23,22600,40,5000,
seq_10_38,45,8400,26,4800,34,3300,21,4200,28,19800,37,4900,
seq_10_39,45,9400,33,5700,34,3300,24,13300,22,25400,39,4700,
seq_10_40,45,8500,27,4900,34,3400,26,5300,26,54400,36,5700,
seq_10_41,45,8900,29,5400,34,3400,33,23000,27,41100,40,5000,
seq_10_42,45,9400,33,5600,34,3300,21,4000,25,37400,40,5300,
seq_10_43,45,10300,37,6400,34,8100,25,1700,20,13600,37,4700,
seq_10_44,45,10000,37,6600,34,3300,25,1600,22,14100,37,4700,
seq_10_45,45,8500,27,5000,34,3300,31,1900,21,17800,40,4800,
seq_10_46,45,10000,38,6500,34,7100,29,1800,23,15700,38,4500,
seq_10_47,45,9700,34,5900,34,3300,27,1700,23,15300,39,4600,
seq_10_48,45,8300,25,4400,34,3100,25,1700,25,15700,43,4800,
seq_10_49,45,9100,31,5300,34,5200,22,1500,34,34900,38,4600,
seq_10_50,45,7700,22,4100,34,3200,21,1400,19,28700,42,5000,
seq_10_51,45,9600,35,5700,34,3300,23,1600,23,24300,39,4700,
seq_10_52,45,10000,39,8500,34,7100,25,1700,21,29500,38,4700,
seq_10_53,45,8200,25,4500,34,3200,27,1700,25,13100,40,4700,
seq_10_54,45,10100,39,6500,34,3200,22,1400,39,15700,39,4500,
seq_10_55,45,10200,41,6600,34,3100,23,1500,27,13600,39,4500,
seq_10_56,45,10800,33,5400,34,3200,20,1400,21,14200,41,4600,
seq_10_57,45,8500,28,5000,34,5000,27,1300,20,14500,38,4600,
seq_10_58,45,9000,23,4400,34,5800,24,2300,27,19600,40,5800,
seq_10_59,45,7900,23,4200,34,3300,20,1500,22,24700,38,4900,
seq_10_60,45,8700,30,5200,34,3500,23,1400,23,101800,39,5700,
seq_10_61,45,9200,29,5300,34,4200,21,1900,24,27400,37,4900,
seq_10_62,45,9400,33,5800,34,3500,23,1500,25,16100,40,5300,
